# id	category	entryMethod	descriptor
exception-runtime-catch	exception	case171	()V
exception-finally-overrides-return	exception	case172	()V
exception-finally-before-break	exception	case173	()V
exception-multi-catch	exception	case174	()V
exception-custom-checked	exception	case175	()V
exception-cause-chain	exception	case176	()V
exception-nested-finally-order	exception	case177	()V
exception-resource-close-order	exception	case178	()V
exception-resource-close-failure	exception	case179	()V
exception-resource-without-handlers	exception	case180	()V
